UF,ano,populacao,pib_mil_reais,pib_bilhoes,IDH,desmatamento_km2
AC,2012,758786,10137925.0,10.14,0.701,270.5972747899349
AC,2013,776463,11473929.0,11.47,0.706,200.2400702851661
AC,2014,790101,13458696.0,13.46,0.715,348.6095670054135
AC,2015,803513,13622803.0,13.62,0.718,223.0037389458437
AC,2016,816687,13754242.0,13.75,0.723,366.3337749119378
AC,2017,829619,14272939.0,14.27,0.712,245.88760142074145
AC,2018,869265,15331124.0,15.33,0.733,426.7192525740764
AC,2019,881935,15630018.0,15.63,0.739,706.9390863272491
AC,2020,894470,16476370.0,16.48,0.746,3259.6579332627107
AC,2021,906876,21374442.0,21.37,0.71,266.4672982010126
AM,2012,3590985,72242703.0,72.24,0.691,471.1661248038502
AM,2013,3807921,83051228.0,83.05,0.702,480.97361255342906
AM,2014,3873743,86668642.0,86.67,0.706,552.8243291380004
AM,2015,3938336,86568185.0,86.57,0.711,687.359230161274
AM,2016,4001667,89039782.0,89.04,0.711,1003.8487778121196
AM,2017,4063614,93240190.0,93.24,0.728,1009.9597752379856
AM,2018,4080611,100109232.0,100.11,0.718,1051.2432341121364
AM,2019,4144597,108181093.0,108.18,0.726,1556.8914681750362
AM,2020,4207714,116019141.0,116.02,0.727,6543.274063225545
AM,2021,4269995,131531039.0,131.53,0.7,1474.7024508638156
AP,2012,698602,11130869.0,11.13,0.707,19.527490927118997
AP,2013,734996,12763485.0,12.76,0.734,24.78377878474206
AP,2014,750912,13400286.0,13.4,0.725,29.105426206371742
AP,2015,766679,13861293.0,13.86,0.728,19.109309712492283
AP,2016,782295,14342136.0,14.34,0.733,12.413974140362104
AP,2017,797722,15481909.0,15.48,0.732,17.2683020287453
AP,2018,829494,16795207.0,16.8,0.741,24.56686850837879
AP,2019,845731,17496662.0,17.5,0.737,39.06157492050759
AP,2020,861773,18469113.0,18.47,0.724,761.7174870407162
AP,2021,877613,20099851.0,20.1,0.688,3.300027946551286
MA,2012,6714314,60490110.0,60.49,0.648,334.52347176545067
MA,2013,6794301,67694839.0,67.69,0.661,297.3889741364049
MA,2014,6850884,76842026.0,76.84,0.663,285.9520787493498
MA,2015,6904241,78475993.0,78.48,0.669,217.41806094801987
MA,2016,6954036,85310044.0,85.31,0.68,247.2381415375187
MA,2017,7000229,89542756.0,89.54,0.685,272.9848446711138
MA,2018,7035055,98179501.0,98.18,0.686,183.25254236614356
MA,2019,7075181,97339951.0,97.34,0.694,272.67975878567034
MA,2020,7114598,106915959.0,106.92,0.699,4235.281677571428
MA,2021,7153262,124980719.0,124.98,0.676,1236.5255580019084
MT,2012,3115336,79665685.0,79.67,0.742,787.4781813583982
MT,2013,3182113,89212915.0,89.21,0.758,1105.745118279118
MT,2014,3224357,101234522.0,101.23,0.762,1099.6636355506423
MT,2015,3265486,107418326.0,107.42,0.77,1495.6677788781367
MT,2016,3305531,123880298.0,123.88,0.769,1397.86067646631
MT,2017,3344544,126845895.0,126.85,0.77,1454.142274269368
MT,2018,3441998,137442863.0,137.44,0.778,1440.99233947142
MT,2019,3484466,142122023.0,142.12,0.779,1882.0407399334265
MT,2020,3526220,178649564.0,178.65,0.756,13646.99105881902
MT,2021,3567234,233390203.0,233.39,0.736,1589.685567422406
PA,2012,7792561,107080878.0,107.08,0.666,1698.3607938498085
PA,2013,7969654,121224851.0,121.22,0.671,2100.045560934069
PA,2014,8073924,124584945.0,124.58,0.684,1796.144753062055
PA,2015,8175113,130899505.0,130.9,0.689,2303.7600984185638
PA,2016,8272724,138107518.0,138.11,0.687,2763.875197882277
PA,2017,8366628,155232405.0,155.23,0.694,2572.8084648391127
PA,2018,8513497,161349601.0,161.35,0.707,2608.756010973136
PA,2019,8602865,178376983.0,178.38,0.704,4465.604572436746
PA,2020,8690745,215935606.0,215.94,0.719,18328.02264154576
PA,2021,8777124,262904981.0,262.9,0.69,2743.4911601722024
RO,2012,1590011,30112721.0,30.11,0.694,690.6184875137558
RO,2013,1728214,31121412.0,31.12,0.687,963.6813991437756
RO,2014,1748531,34030982.0,34.03,0.692,761.2707959074123
RO,2015,1768204,36563334.0,36.56,0.706,960.6544482020856
RO,2016,1787279,39460358.0,39.46,0.715,1194.0478165529348
RO,2017,1805788,43516144.0,43.52,0.721,1277.8962145615951
RO,2018,1757589,44913978.0,44.91,0.73,1211.7433024576676
RO,2019,1777225,47091334.0,47.09,0.73,1401.1548074932468
RO,2020,1796460,51598745.0,51.6,0.739,5482.898133133517
RO,2021,1815278,58170100.0,58.17,0.7,871.5607382094962
RR,2012,469524,7711468.0,7.71,0.738,107.4720019696252
RR,2013,488072,9010725.0,9.01,0.738,148.41412189535134
RR,2014,496936,9744122.0,9.74,0.744,189.05890046536248
RR,2015,505665,10242903.0,10.24,0.748,154.29364635726034
RR,2016,514229,11013236.0,11.01,0.752,228.52873589154996
RR,2017,522636,12104706.0,12.1,0.746,121.8815765698708
RR,2018,576568,13369988.0,13.37,0.76,126.64818891706932
RR,2019,605761,14292227.0,14.29,0.749,543.4634395070918
RR,2020,631181,16024274.0,16.02,0.739,2024.3909565593056
RR,2021,652713,18202580.0,18.2,0.699,120.84481644598004
TO,2012,1417694,20684430.0,20.68,0.71,47.63924512408774
TO,2013,1478164,23796659.0,23.8,0.719,77.11606716696471
TO,2014,1496880,26189323.0,26.19,0.737,45.06402780051187
TO,2015,1515126,28930288.0,28.93,0.73,55.3011199829867
TO,2016,1532902,31584812.0,31.58,0.734,53.46180120533159
TO,2017,1550194,34108132.0,34.11,0.74,28.15613080953856
TO,2018,1555229,35666181.0,35.67,0.749,22.7846676493304
TO,2019,1572866,39355940.0,39.36,0.751,28.140260944978916
TO,2020,1590248,43649801.0,43.65,0.755,4838.011709064085
TO,2021,1607363,51780763.0,51.78,0.731,1257.2220922461925
